"품목군별(1)",품목군별(2),2022,2022,2022,2022,2022
"품목군별(1)",품목군별(2),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%)
"식량작물 (kg)",소계,-,1961819,1125120,836699,42.6
"식량작물 (kg)",겉보리,483,467207,285063,182144,39.0
"식량작물 (kg)",쌀보리,453,562366,295231,267135,47.5
"식량작물 (kg)",밀,498,491798,300358,191440,38.9
"식량작물 (kg)",노지풋옥수수,2843,1748101,890037,858064,49.1
"식량작물 (kg)",고구마,1514,3235406,1893799,1341607,41.5
"식량작물 (kg)",봄감자,2125,2535290,1461335,1073955,42.4
"식량작물 (kg)",가을감자,1583,2659175,1668489,990686,37.3
"노지채소 (kg)",소계,-,3928312,1832146,2096166,53.4
"노지채소 (kg)",노지수박,4957,5003263,2366919,2636344,52.7
"노지채소 (kg)",노지가을무,6540,2830632,1279838,1550794,54.8
"노지채소 (kg)",노지고랭지무,7643,3464317,1651343,1812974,52.3
"노지채소 (kg)",노지당근,4057,5207995,2313680,2894316,55.6
"노지채소 (kg)",노지봄배추,7464,2503013,1207984,1295028,51.7
"노지채소 (kg)",노지가을배추,6537,3006711,1344133,1662578,55.3
"노지채소 (kg)",노지고랭지배추,5536,2393264,1326513,1066751,44.6
"노지채소 (kg)",노지시금치,1136,3368958,1124811,2244148,66.6
"노지채소 (kg)",노지양배추,6349,2413581,1443196,970386,40.2
"노지채소 (kg)",노지대파,3803,3625668,1694945,1930723,53.3
"노지채소 (kg)",노지쪽파,1777,5286603,2639349,2647255,50.1
"노지채소 (kg)",노지생강,1464,8825932,3869768,4956164,56.2
"시설채소 (kg)",소계,-,19631447,10707638,8923810,45.5
"시설채소 (kg)",시설수박(반촉성),4697,7176440,3128270,4048170,56.4
"시설채소 (kg)",시설참외,4328,12853780,6082595,6771185,52.7
"시설채소 (kg)",시설딸기,3127,28996466,16297182,12699284,43.8
"시설채소 (kg)",시설오이(촉성),15989,37355230,19326582,18028647,48.3
"시설채소 (kg)",시설오이(반촉성),8411,15045287,6803524,8241763,54.8
"시설채소 (kg)",시설오이(억제),5262,9022394,5364571,3657823,40.5
"시설채소 (kg)",시설호박,8163,15241117,7657388,7583728,49.8
"시설채소 (kg)",시설토마토(촉성),11021,27216556,15987863,11228693,41.3
"시설채소 (kg)",시설토마토(반촉성),7866,20194728,10618552,9576176,47.4
"시설채소 (kg)",시설방울토마토,5021,19003876,10730872,8273004,43.5
"시설채소 (kg)",시설가지,11809,26403554,13477545,12926009,49.0
"시설채소 (kg)",시설파프리카(착색단고추),12315,39364235,28271164,11093071,28.2
"시설채소 (kg)",시설시금치,1317,3632751,1857573,1775179,48.9
"시설채소 (kg)",시설상추,3313,11170375,5743082,5427293,48.6
"시설채소 (kg)",시설부추,3798,11441782,6356934,5084849,44.4
"시설채소 (kg)",시설고추,5561,19364950,9412997,9951953,51.4
"노지과수 (kg)",소계,-,7362338,3376642,3985696,54.1
"노지과수 (kg)",사과,2313,7065740,3703532,3362208,47.6
"노지과수 (kg)",배,3226,7869555,3832088,4037467,51.3
"노지과수 (kg)",복숭아,1209,5097422,2546074,2551348,50.1
"노지과수 (kg)",노지포도,1531,11088764,4187156,6901607,62.2
"노지과수 (kg)",노지감귤,2485,3390782,1533551,1857231,54.8
"노지과수 (kg)",단감,1628,3759122,1794836,1964286,52.3
"노지과수 (kg)",키위(참다래),1582,6265119,2894707,3370412,53.8
"노지과수 (kg)",블루베리,459,9963087,4771117,5191970,52.1
"노지과수 (kg)",자두,1077,4628894,1921368,2707527,58.5
"시설과수 (kg)",소계,-,17944026,7153483,10790543,60.1
"시설과수 (kg)",시설포도,1560,17944026,7153483,10790543,60.1
"화훼 (본)",소계,-,36338509,24732076,11606433,31.9
"화훼 (본)",시설장미,68992,36338509,24732076,11606433,31.9
"특용약용 작물 (kg)",소계,-,6225741,2820957,3404785,54.7
"특용약용 작물 (kg)",참깨,77,1807372,638314,1169058,64.7
"특용약용 작물 (kg)",인삼(4년근),700,15640326,7436727,8203600,52.5
"특용약용 작물 (kg)",오미자,419,4540623,1872827,2667796,58.8
"특용약용 작물 (kg)",들깨,78,980587,462260,518328,52.9
